ausg_beityp,ausg_emp,ausg_degr,ausg_hoefl,ausg_ehrl,ausg_posemo,ausg_negemo,ausg_humor,ausg_frage,ausg_korr,ausg_zus,ausg_meta,ausg_mod
11,0,0,0,0,0,0,0,0,0,0,0,0
222,0,3,1,0,0,14,0,0,0,0,0,0
12,1,0,0,0,0,0,0,11,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,10,1,13,0,0,0,0
12,0,0,0,0,0,10,1,13,0,0,0,0
12,0,0,0,0,0,10,1,13,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,3,0,0,0,0,0,0,0,0
12,0,0,0,3,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,13,0,0,0,0
12,0,0,0,0,0,0,0,13,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,13,0,0,0,0
12,0,0,0,0,0,0,0,13,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,20,0
11,0,9,0,0,0,0,0,0,0,0,0,0
11,0,0,0,3,0,0,0,12,0,0,0,0
11,0,0,0,3,0,0,0,12,0,0,0,0
211,0,0,1,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,11,0,0,0,0,0,0
11,0,3,0,0,0,11,0,0,0,0,20,0
11,0,3,0,0,0,11,0,0,0,0,20,0
212,0,0,0,0,0,0,0,0,0,0,0,0
11,0,3,0,0,0,11,0,0,0,0,20,0
212,0,0,0,0,0,0,0,0,0,0,0,0
211,2,3,0,0,0,0,1,13,0,0,0,0
11,0,3,0,0,0,11,0,0,0,0,20,0
212,0,9,0,0,0,0,1,13,2,0,20,0
222,0,0,0,0,0,0,0,0,0,0,20,0
212,0,9,0,0,0,0,1,13,2,0,20,0
222,0,0,0,0,0,0,0,13,2,0,0,0
212,1,1,0,0,0,0,1,13,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
211,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,11,0,0,0,0
12,0,0,0,0,0,0,0,11,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0
11,0,9,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,11,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
224,1,3,0,0,0,0,0,11,0,0,0,0
224,1,3,0,0,0,0,0,11,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0
224,1,3,0,0,0,0,0,11,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0
222,0,3,0,0,0,0,0,0,0,0,0,0
222,0,3,0,0,0,11,0,13,0,0,0,0
222,0,0,0,0,0,0,1,13,0,0,0,0
223,0,0,0,0,0,11,1,13,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,14,0,0,0,0,0,0
12,0,0,0,0,0,14,0,0,0,0,0,0
211,0,0,0,0,0,0,1,0,0,0,0,0
12,0,0,0,0,0,14,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,3,0,0,0,0,0,0,0,0
221,0,0,0,0,0,11,1,11,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
20,0,3,0,0,0,0,0,12,0,0,0,0
211,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,13,0,0,0,0
12,0,0,0,0,0,0,0,13,0,0,0,0
12,0,0,0,0,0,0,0,13,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,13,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,20,0
12,0,0,0,0,0,0,0,0,0,0,20,0
12,0,3,0,0,0,0,0,0,0,0,0,0
12,0,3,0,0,0,0,0,0,0,0,0,0
12,0,3,0,0,0,0,0,13,0,0,0,0
12,0,3,0,0,0,0,0,13,0,0,0,0
11,0,0,0,0,0,14,0,0,0,0,0,0
11,0,0,0,0,0,0,0,13,0,0,0,0
12,0,0,0,0,0,0,1,13,0,0,0,0
11,0,0,0,0,0,12,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
212,0,0,0,0,0,0,1,13,2,0,0,0
212,0,0,0,0,0,0,1,13,2,0,0,0
212,0,0,1,0,0,0,0,12,0,0,0,0
212,0,0,1,0,0,0,0,12,0,0,0,0
